Serial number,Opening price,Highest price,Lowest price,Closing price,Adj Close,Volume
1,7.09,7.39,6.9,7.29,7.111226,781800
2,7.44,7.73,7.28,7.62,7.433134,900500
3,7.75,7.77,7.21,7.4,7.218529,711100
4,7.16,7.32,6.85,7.08,6.906376,740000
5,7.1,7.3,6.85,7.09,6.916131,498700
6,7.18,7.54,6.95,7.49,7.306322,736800
7,7.58,7.58,7.24,7.38,7.199019,661800
8,7.44,7.89,7.34,7.79,7.598965,576400
9,7.86,7.89,7.2,7.45,7.267303,842100
10,7.39,7.5,6.87,7.49,7.306322,872800
11,7.51,7.51,6.84,6.98,6.808828,957500
12,7.18,7.77,7.02,7.54,7.355095,1783500
13,7.72,8.01,7.52,7.62,7.433134,1119300
14,7.58,7.77,7.31,7.76,7.569701,691200
15,8.0,8.24,7.94,8.04,7.842834,1389100
16,7.9,8.1,7.61,8.07,7.872098,1333100
17,8.04,8.05,7.66,7.84,7.647739,576900
18,7.73,7.86,7.52,7.67,7.481907,623500
19,7.51,7.76,7.41,7.62,7.433134,406000
20,7.4,7.46,6.99,7.31,7.130736,816200
21,7.34,7.83,7.22,7.61,7.423379,503000
22,7.5,7.93,7.36,7.8,7.60872,707800
23,7.58,7.68,7.3,7.58,7.394114,951500
24,7.43,7.64,7.16,7.2,7.023433,1012400
25,7.27,7.9,7.25,7.7,7.511172,1089600
26,7.51,7.71,7.24,7.36,7.17951,892200
27,7.43,7.48,6.96,7.11,6.935641,1126400
28,7.17,7.4,6.9,7.0,6.828338,4834500
29,7.0,7.47,6.91,7.39,7.208774,882200
30,7.48,7.65,7.33,7.42,7.238039,566300
31,7.46,7.51,7.03,7.12,6.945395,586000
32,7.0,7.2,6.9,6.97,6.799074,576300
33,7.0,7.03,6.57,6.97,6.799074,642400
34,6.85,6.96,6.71,6.93,6.760055,618500
35,6.96,7.06,6.32,6.48,6.32109,1057000
36,6.68,7.01,6.54,6.85,6.682016,435200
37,6.96,6.97,6.64,6.94,6.769809,375800
38,6.9,6.94,6.62,6.75,6.584469,283900
39,6.6,6.72,6.4,6.64,6.477166,652700
40,6.52,6.99,6.52,6.92,6.7503,410100
41,6.73,6.88,6.57,6.87,6.701526,392200
42,7.01,7.09,6.75,7.03,6.857603,407900
43,7.11,7.38,7.06,7.28,7.101472,460000
44,7.34,8.13,7.32,7.99,7.79406,996500
45,7.98,8.26,7.87,8.23,8.028174,619600
46,8.21,8.34,7.9,8.22,8.01842,444500
47,8.22,8.27,7.74,7.83,7.637984,375900
48,7.88,8.15,7.77,8.07,7.872098,428700
49,8.21,8.53,8.1,8.49,8.281798,525900
50,6.6,6.72,6.4,6.64,6.477166,652700
